pID,condition,target,distractor,start_time,typed_input,keypress_times,cleaned_response,cleaned_typingTimes,response_type,response_check,subj,trialNum,onset_time,onset_latency,edit_type
00ccdc61d8c7e1d75567f4ee807f60da,NEU,skirt,XXXXX,1645561135974,"s,k,i,r,t,(Enter)",1645561137632164e62,skirt_,1645561137632164e62,pass,pass-target,1,107,1645561137632,1358,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,coat,castle,1645561138719,"c,o,a,t,(Enter)",16455611407221644e48,coat_,16455611407221644e48,pass,pass-target,1,108,1645561140722,1703,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,cup,jug,1645561142013,"c,u,p,(Enter)",16455611438541646e35,cup_,16455611438541646e35,pass,pass-target,1,109,1645561143854,1541,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,windmill,XXXXX,1645561144600,"w,i,n,d,m,i,l,l,(Enter)",16455611465291645e100,windmill_,16455611465291645e100,pass,pass-target,1,110,1645561146529,1629,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,car,car,1645561149755,"c,a,r,(Enter)",16455611513721645e35,car_,16455611513721645e35,pass,pass-target,1,111,1645561151372,1317,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,glass,cannon,1645561151997,"g,l,a,s,s,(Enter)",16455611543451647e61,glass_,16455611543451647e61,pass,pass-target,1,112,1645561154345,2048,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,rabbit,rabbit,1645561155936,"r,a,b,b,i,t,(Enter)",1645561158176164e75,rabbit_,1645561158176164e75,pass,pass-target,1,113,1645561158176,1940,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,swan,XXXXX,1645561164470,"s,w,a,n,(Enter)",16455611657471647e48,swan_,16455611657471647e48,pass,pass-target,1,115,1645561165747,977,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,wardrobe,bike,1645561167134,"w,a,r,d,r,o,b,e,(Enter)",16455611690021634e100,wardrobe_,16455611690021634e100,pass,pass-target,1,116,1645561169002,1568,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,arm,nose,1645561171469,"a,r,m,(Enter)",1645561173373165e36,arm_,1645561173373165e36,pass,pass-target,1,117,1645561173373,1604,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,deer,XXXXX,1645561174274,"d,e,e,r,(Enter)",1645561175727164e49,deer_,1645561175727164e49,pass,pass-target,1,118,1645561175727,1153,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,sword,sword,1645561176598,"s,w,o,r,d,(Enter)",16455611781571637e61,sword_,16455611781571637e61,pass,pass-target,1,119,1645561178157,1259,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,leg,car,1645561180161,"l,e,g,(Enter)",1645561182439165e36,leg_,1645561182439165e36,pass,pass-target,1,120,1645561182439,1978,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,factory,factory,1645561183317,"f,a,c,t,o,r,y,(Enter)",16455611846481638e87,factory_,16455611846481638e87,pass,pass-target,1,121,1645561184648,1031,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,ear,leg,1645561186251,"e,a,r,(Enter)",1645561187858165e36,ear_,1645561187858165e36,pass,pass-target,1,122,1645561187858,1307,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,bed,XXXXX,1645561188617,"b,e,d,(Enter)",16455611901851653e35,bed_,16455611901851653e35,pass,pass-target,1,123,1645561190185,1268,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,ear,vest,1645561190801,"e,a,r,(Enter)",16455611928561653e35,ear_,16455611928561653e35,pass,pass-target,1,124,1645561192856,1755,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,table,wardrobe,1645561193684,"t,a,b,l,e,(Enter)",1645561195561165e62,table_,1645561195561165e62,pass,pass-target,1,125,1645561195561,1577,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,sword,XXXXX,1645561196808,"s,w,o,r,d,(Enter)",16455611994421636e61,sword_,16455611994421636e61,pass,pass-target,1,126,1645561199442,2334,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,deer,deer,1645561200640,"d,e,e,r,(Enter)",1645561202115164e49,deer_,1645561202115164e49,pass,pass-target,1,127,1645561202115,1175,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,bed,pistol,1645561203306,"b,e,d,(Enter)",1645561205855164e36,bed_,1645561205855164e36,pass,pass-target,1,128,1645561205855,2249,NA
030ad01f9bfb7ac7493ac356817f6804,ID,cannon,cannon,1645570431330,"(CapsLock),C,A,N,N,O,N,(Enter)",16455704365181644e87,cannon_,16455704372711647e74,pass,pass-target,2,1,1645570437271,5641,NA
030ad01f9bfb7ac7493ac356817f6804,REL,coat,vest,1645570439672,"C,O,A,T,(Enter)",16455704420031642e48,coat_,16455704420031642e48,pass,pass-target,2,2,1645570442003,2031,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,bed,XXXXX,1645570442593,"B,E,D,(Enter)",1645570444010164e36,bed_,1645570444010164e36,pass,pass-target,2,3,1645570444010,1117,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,leg,car,1645570444586,"L,E,G,(Enter)",16455704460731644e35,leg_,16455704460731644e35,pass,pass-target,2,4,1645570446073,1187,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,ear,XXXXX,1645570475611,"E,A,R,(Enter)",1645570476898165e36,ear_,1645570476898165e36,pass,pass-target,2,6,1645570476898,987,NA
030ad01f9bfb7ac7493ac356817f6804,ID,church,church,1645570477555,"C,H,U,R,C,H,(Enter)",1645570478712164e75,church_,1645570478712164e75,pass,pass-target,2,7,1645570478712,857,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,coat,castle,1645570479752,"C,O,A,T,(Enter)",16455704821741648e48,coat_,16455704821741648e48,pass,pass-target,2,8,1645570482174,2122,NA
030ad01f9bfb7ac7493ac356817f6804,ID,swan,swan,1645570482641,"S,W,A,N,(Enter)",16455704841541646e48,swan_,16455704841541646e48,pass,pass-target,2,9,1645570484154,1213,NA
030ad01f9bfb7ac7493ac356817f6804,REL,sweater,skirt,1645570485144,"S,W,E,A,T,E,R,(Enter)",16455704869661642e87,sweater_,16455704869661642e87,pass,pass-target,2,10,1645570486966,1522,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,castle,XXXXX,1645570488630,"C,A,S,T,L,E,(Enter)",1645570490022165e75,castle_,1645570490022165e75,pass,pass-target,2,11,1645570490022,1092,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,ear,vest,1645570490992,"E,A,R,(Enter)",1645570492160164e36,ear_,1645570492160164e36,pass,pass-target,2,12,1645570492160,868,NA
030ad01f9bfb7ac7493ac356817f6804,REL,nose,arm,1645570492640,"N,O,S,E,(Enter)",16455704938311636e48,nose_,16455704938311636e48,pass,pass-target,2,13,1645570493831,891,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,train,XXXXX,1645570494355,"T,R,A,I,N,(Enter)",16455704960261647e61,train_,16455704960261647e61,pass,pass-target,2,14,1645570496026,1371,NA
030ad01f9bfb7ac7493ac356817f6804,ID,plane,plane,1645570496716,"P,L,A,N,E,(Enter)",16455704980371649e61,plane_,16455704980371649e61,pass,pass-target,2,15,1645570498037,1021,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,table,sword,1645570498819,"T,A,B,L,E,(Enter)",16455705002071642e61,table_,16455705002071642e61,pass,pass-target,2,16,1645570500207,1088,NA
030ad01f9bfb7ac7493ac356817f6804,REL,church,castle,1645570527390,"C,H,U,R,C,H,(Enter)",16455705289031656e74,church_,16455705289031656e74,pass,pass-target,2,18,1645570528903,1213,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,sweater,XXXXX,1645570530228,"S,W,E,A,T,E,R,(Enter)",1645570534681165e88,sweater_,1645570534681165e88,pass,pass-target,2,19,1645570534681,4153,NA
